,Name,Features,Pret,Link
0,Apple Watch SE 2022,"GPS + Cellular, Midnight Aluminium 40mm, Ca nou",1.27999 Lei,"https://cdn.flip.ro/device-images/c74e122c-574f-4656-b485-82d5c21ddc41_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/c74e122c-574f-4656-b485-82d5c21ddc41_mip@_320.jpg?w=256 2x"
1,Apple Watch SE 2022,"GPS + Cellular, Starlight Aluminium 44mm, Ca nou",1.38999 Lei,"https://cdn.flip.ro/device-images/d6c5ba49-c00b-4026-9a45-1b8e05ad014b_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/d6c5ba49-c00b-4026-9a45-1b8e05ad014b_mip@_320.jpg?w=256 2x"
2,Apple Watch Series 6 2020,"GPS + Cellular, Silver Stainless Steel 40mm, Ca nou",1.19999 Lei,"https://cdn.flip.ro/device-images/28618e95-4870-4c39-82d5-a275e6a30828_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/28618e95-4870-4c39-82d5-a275e6a30828_mip@_320.jpg?w=256 2x"
3,Apple Watch Series 6 2020,"GPS + Cellular, Graphite Stainless Steel 40mm, Ca nou",1.19999 Lei,"https://cdn.flip.ro/device-images/51901907-7ab0-4118-9f03-2f36fcaa7c11_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/51901907-7ab0-4118-9f03-2f36fcaa7c11_mip@_320.jpg?w=256 2x"
4,Apple Watch Series 6 2020,"GPS, Blue Aluminium 40mm, Excelent",96999 Lei,"https://cdn.flip.ro/device-images/dcdf2018-0fed-4ad8-ace2-431fd28c5425_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/dcdf2018-0fed-4ad8-ace2-431fd28c5425_mip@_320.jpg?w=256 2x"
5,Apple Watch Series 6 2020,"GPS, Red Aluminium 40mm, Foarte bun",93999 Lei,"https://cdn.flip.ro/device-images/b647acfe-be93-4011-95c4-d5705d1c1113_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/b647acfe-be93-4011-95c4-d5705d1c1113_mip@_320.jpg?w=256 2x"
6,Apple Watch Series 6 2020,"GPS + Cellular, Silver Aluminium 44mm, Bun",1.09999 Lei,"https://cdn.flip.ro/device-images/072effe9-5742-42f8-8f70-0bb5c9539f79_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/072effe9-5742-42f8-8f70-0bb5c9539f79_mip@_320.jpg?w=256 2x"
7,Apple Watch Series 6 2020,"GPS + Cellular, Graphite Stainless Steel 44mm, Ca nou",1.27999 Lei,"https://cdn.flip.ro/device-images/51901907-7ab0-4118-9f03-2f36fcaa7c11_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/51901907-7ab0-4118-9f03-2f36fcaa7c11_mip@_320.jpg?w=256 2x"
8,Apple Watch Ultra 2022,"GPS + Cellular, Titanium 49mm, Ca nou",2.71999 Lei,"https://cdn.flip.ro/device-images/d4fb6c8d-c0c7-45db-b483-0d7b3f976cb0_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/d4fb6c8d-c0c7-45db-b483-0d7b3f976cb0_mip@_320.jpg?w=256 2x"
9,Apple Watch SE 2022,"GPS + Cellular, Midnight Aluminium 40mm, Ca nou",1.27999 Lei,"https://cdn.flip.ro/device-images/c74e122c-574f-4656-b485-82d5c21ddc41_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/c74e122c-574f-4656-b485-82d5c21ddc41_mip@_320.jpg?w=256 2x"
10,Apple Watch SE 2022,"GPS + Cellular, Starlight Aluminium 44mm, Ca nou",1.38999 Lei,"https://cdn.flip.ro/device-images/d6c5ba49-c00b-4026-9a45-1b8e05ad014b_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/d6c5ba49-c00b-4026-9a45-1b8e05ad014b_mip@_320.jpg?w=256 2x"
11,Apple Watch Series 6 2020,"GPS + Cellular, Silver Stainless Steel 40mm, Ca nou",1.19999 Lei,"https://cdn.flip.ro/device-images/28618e95-4870-4c39-82d5-a275e6a30828_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/28618e95-4870-4c39-82d5-a275e6a30828_mip@_320.jpg?w=256 2x"
12,Apple Watch Series 6 2020,"GPS + Cellular, Graphite Stainless Steel 40mm, Ca nou",1.19999 Lei,"https://cdn.flip.ro/device-images/51901907-7ab0-4118-9f03-2f36fcaa7c11_mip@_320.jpg?w=128 1x, https://cdn.flip.ro/device-images/51901907-7ab0-4118-9f03-2f36fcaa7c11_mip@_320.jpg?w=256 2x"
